DATE,BUSINV
2004-03-01,1168100
2004-04-01,1176070
2004-05-01,1183161
2004-06-01,1195398
2004-07-01,1207045
2004-08-01,1217193
2004-09-01,1217197
2004-10-01,1225082
2004-11-01,1238758
2004-12-01,1241744
2005-01-01,1252501
2005-02-01,1261260
2005-03-01,1269176
2005-04-01,1274830
2005-05-01,1276383
2005-06-01,1275901
2005-07-01,1270179
2005-08-01,1274931
2005-09-01,1282681
2005-10-01,1291279
2005-11-01,1300830
2005-12-01,1314197
2006-01-01,1323261
2006-02-01,1327171
2006-03-01,1340337
2006-04-01,1348369
2006-05-01,1363378
2006-06-01,1375868
2006-07-01,1381004
2006-08-01,1391220
2006-09-01,1396546
2006-10-01,1401687
2006-11-01,1407356
2006-12-01,1408670
2007-01-01,1412617
2007-02-01,1419143
2007-03-01,1420809
2007-04-01,1428553
2007-05-01,1438203
2007-06-01,1445165
2007-07-01,1447116
2007-08-01,1452829
2007-09-01,1460505
2007-10-01,1466325
2007-11-01,1476743
2007-12-01,1488229
2008-01-01,1500270
2008-02-01,1507249
2008-03-01,1507998
2008-04-01,1514471
2008-05-01,1517439
2008-06-01,1526774
2008-07-01,1535767
2008-08-01,1539077
2008-09-01,1528608
2008-10-01,1514322
2008-11-01,1498169
2008-12-01,1465827
2009-01-01,1448108
2009-02-01,1427121
2009-03-01,1406164
2009-04-01,1387727
2009-05-01,1372397
2009-06-01,1354516
2009-07-01,1338594
2009-08-01,1321588
2009-09-01,1315467
2009-10-01,1323770
2009-11-01,1334181
2009-12-01,1331715
2010-01-01,1333975
2010-02-01,1342772
2010-03-01,1348746
2010-04-01,1353749
2010-05-01,1357954
2010-06-01,1367801
2010-07-01,1379992
2010-08-01,1391824
2010-09-01,1407056
2010-10-01,1423543
2010-11-01,1434536
2010-12-01,1450605
2011-01-01,1462510
2011-02-01,1472307
2011-03-01,1489108
2011-04-01,1502706
2011-05-01,1520844
2011-06-01,1527215
2011-07-01,1534537
2011-08-01,1542058
2011-09-01,1536885
2011-10-01,1550918
2011-11-01,1558158
2011-12-01,1567464
2012-01-01,1573812
2012-02-01,1587065
2012-03-01,1593341
2012-04-01,1601606
2012-05-01,1606159
2012-06-01,1612106
2012-07-01,1625022
2012-08-01,1631896
2012-09-01,1644684
2012-10-01,1645686
2012-11-01,1651912
2012-12-01,1658270
2013-01-01,1670536
2013-02-01,1672655
2013-03-01,1672634
2013-04-01,1676603
2013-05-01,1672681
2013-06-01,1675951
2013-07-01,1680383
2013-08-01,1689027
2013-09-01,1698526
2013-10-01,1708501
2013-11-01,1718654
2013-12-01,1727460
2014-01-01,1733740
2014-02-01,1743192
2014-03-01,1751105
2014-04-01,1758316
2014-05-01,1766233
2014-06-01,1770290
2014-07-01,1775389
2014-08-01,1781597
2014-09-01,1783494
2014-10-01,1787588
2014-11-01,1792561
2014-12-01,1790353
2015-01-01,1790591
2015-02-01,1796198
2015-03-01,1799349
2015-04-01,1805660
2015-05-01,1809972
2015-06-01,1821346
2015-07-01,1822047
2015-08-01,1824751
2015-09-01,1828443
2015-10-01,1831147
2015-11-01,1827401
2015-12-01,1823840
2016-01-01,1823847
2016-02-01,1819176
2016-03-01,1825531
2016-04-01,1831594
2016-05-01,1836766
2016-06-01,1837727
2016-07-01,1839027
2016-08-01,1839678
2016-09-01,1842668
2016-10-01,1844066
2016-11-01,1855660
2016-12-01,1859432
2017-01-01,1863273
2017-02-01,1866468
2017-03-01,1870260
2017-04-01,1868867
2017-05-01,1873504
2017-06-01,1881840
2017-07-01,1888406
2017-08-01,1899396
2017-09-01,1902500
2017-10-01,1903271
2017-11-01,1911201
2017-12-01,1917746
2018-01-01,1926003
2018-02-01,1936965
2018-03-01,1936760
2018-04-01,1942047
2018-05-01,1945534
2018-06-01,1948358
2018-07-01,1959321
2018-08-01,1970251
2018-09-01,1980334
2018-10-01,1989944
2018-11-01,1987824
2018-12-01,2001842
2019-01-01,2015262
2019-02-01,2024309
2019-03-01,2026957
2019-04-01,2038852
2019-05-01,2044165
2019-06-01,2047526
2019-07-01,2052281
2019-08-01,2053516
2019-09-01,2051567
2019-10-01,2050499
2019-11-01,2046172
2019-12-01,2043172
2020-01-01,2034880
2020-02-01,2024524
2020-03-01,2020078
2020-04-01,1993473
2020-05-01,1946344
2020-06-01,1925045
2020-07-01,1927204
2020-08-01,1938165
2020-09-01,1952500
2020-10-01,1968760
2020-11-01,1978244
2020-12-01,1986925
2021-01-01,1998351
2021-02-01,2012203
2021-03-01,2012605
2021-04-01,2011003
2021-05-01,2023512
2021-06-01,2042070
2021-07-01,2056143
2021-08-01,2074782
2021-09-01,2092460
2021-10-01,2118663
2021-11-01,2152079
2021-12-01,2203651
2022-01-01,2231107
2022-02-01,2263268
2022-03-01,2317441
2022-04-01,2348268
2022-05-01,2386601
2022-06-01,2420090
2022-07-01,2433047
2022-08-01,2455035
2022-09-01,2461135
2022-10-01,2466950
2022-11-01,2475039
2022-12-01,2481531
2023-01-01,2479646
