DATE,T10Y2Y,DTB3,T5YIFR,DTB6,RSXFS,PAYEMS,USSTHPI,DEXCAUS,CPILFESL,CPIAUCSL,FEDFUNDS,BAMLH0A0HYM2,ICSA,M1SL,M2SL,WM2NS,GS1,DGS10,GS10,DGS2,GS5,BAA,HOUST,PCEPI,A191RL1Q225SBEA,W875RX1,RECPROUSM156N,UNRATE
1981-07-31,-1.066521739130435,14.92608695652174,,14.712608695652174,,91601.0,108.84,1.210713043478261,89.8,91.5,19.04,,430750.0,426.9,1681.9,1685.225,15.72,14.266521739130434,14.28,15.33304347826087,14.79,16.17,1041.0,44.969,4.9,5135.0,3.2,7.2
1981-08-31,-1.3476190476190477,15.506190476190476,,15.516190476190475,,91565.0,108.84,1.2231666666666665,90.7,92.2,17.82,,450200.0,426.9,1694.3,1693.28,16.72,14.937142857142858,14.94,16.284761904761904,15.56,16.34,940.0,45.25,4.9,5160.8,45.72,7.4
1981-09-30,-1.145,14.743636363636364,,14.955454545454545,,91477.0,108.84,1.2007272727272726,91.8,93.1,15.87,,473250.0,427.0,1706.0,1706.15,16.52,15.332272727272727,15.32,16.477272727272727,15.93,16.92,911.0,45.524,4.9,5156.4,80.82,7.6
1981-10-31,-0.3981818181818182,13.533636363636363,,13.809545454545455,,91380.0,107.47,1.2026181818181818,92.1,93.4,15.08,,492800.0,428.4,1721.8,1725.45,15.38,15.129090909090907,15.15,15.52727272727273,15.41,17.11,873.0,45.73,-4.3,5139.2,91.74,7.9
1981-11-30,0.4933333333333333,10.922380952380953,,11.344761904761905,,91171.0,107.47,1.1877380952380951,92.5,93.8,13.31,,511750.0,431.3,1736.1,1738.5400000000002,12.41,13.42952380952381,13.39,12.936190476190477,13.38,16.39,837.0,45.976,-4.3,5142.7,95.16,8.3
1981-12-31,0.41782608695652174,10.85695652173913,,11.540000000000001,,90895.0,107.47,1.1850347826086958,93.0,94.1,12.37,,551000.0,436.7,1755.5,1759.175,12.85,13.73695652173913,13.72,13.319130434782608,13.6,16.55,910.0,46.118,-4.3,5140.0,95.06,8.5
1982-01-31,0.041428571428571426,12.21952380952381,,12.787142857142856,,90565.0,106.18,1.192257142857143,93.3,94.4,13.22,,535200.0,442.7,1770.4,1775.325,14.32,14.564761904761905,14.59,14.523333333333333,14.65,17.1,843.0,46.392,-6.1,5129.6,92.5,8.6
1982-02-28,-0.394,13.552000000000001,,13.6525,,90563.0,106.18,1.213585,93.8,94.7,14.78,,533750.0,441.9,1774.5,1764.7,14.73,14.453999999999999,14.43,14.847999999999999,14.54,17.18,866.0,46.531,-6.1,5148.5,12.08,8.9
1982-03-31,-0.33304347826086955,12.67782608695652,,12.771739130434783,,90434.0,106.18,1.2205173913043479,93.9,94.7,14.68,,556500.0,442.7,1786.5,1777.7,13.95,13.861304347826087,13.86,14.194347826086958,13.98,16.82,931.0,46.651,-6.1,5144.1,63.26,9.0
1982-04-30,-0.3290909090909091,12.718181818181819,,12.81090909090909,,90150.0,108.82,1.2252363636363635,94.7,95.0,14.94,,587000.0,447.1,1803.9,1809.5,13.98,13.876818181818182,13.87,14.20590909090909,14.0,16.78,917.0,46.675,1.8,5173.5,74.76,9.3
1982-05-31,-0.14285714285714285,12.059999999999999,,12.140476190476189,,90107.0,108.82,1.2341095238095239,95.4,95.9,14.45,,583800.0,446.7,1815.4,1803.1799999999998,13.34,13.626666666666669,13.62,13.769523809523808,13.75,16.64,1025.0,46.951,1.8,5174.7,78.0,9.4
1982-06-30,-0.1659090909090909,12.465909090909092,,12.69818181818182,,89865.0,108.82,1.2755681818181819,96.1,97.0,14.15,,599500.0,447.5,1826.0,1822.575,14.07,14.299545454545454,14.3,14.465454545454547,14.43,16.92,902.0,47.292,1.8,5152.6,80.86,9.6
1982-07-31,0.13272727272727272,11.405454545454544,,11.931818181818182,,89521.0,107.03,1.27075,96.7,97.5,12.59,,576000.0,448.0,1831.5,1834.9,13.24,13.971363636363636,13.95,13.838636363636363,14.07,16.8,1166.0,47.572,-1.5,5133.2,81.08,9.8
1982-08-31,0.7313636363636363,8.679545454545455,,9.88090909090909,,89363.0,107.03,1.2452,97.1,97.7,10.12,,629500.0,451.4,1845.2,1843.58,11.43,13.055,13.06,12.323636363636364,13.0,16.32,1046.0,47.72,-1.5,5143.3,79.56,9.8
1982-09-30,0.5659090909090909,7.931818181818182,,9.375454545454545,,89183.0,107.03,1.2350227272727272,97.2,97.7,10.31,,660750.0,456.9,1858.4,1858.95,10.85,12.344999999999999,12.34,11.77909090909091,12.25,15.63,1144.0,47.852,-1.5,5132.2,76.4,10.1
1982-10-31,0.7171428571428572,7.712380952380952,,8.292857142857143,,88907.0,111.69,1.2302333333333333,97.5,98.1,9.71,,652400.0,464.5,1869.7,1873.8,9.32,10.902857142857144,10.91,10.185714285714287,10.8,14.73,1173.0,48.121,0.2,5121.5,73.34,10.4
1982-11-30,0.7599999999999999,8.049090909090909,,8.329545454545455,,88786.0,111.69,1.225959090909091,97.3,98.0,9.2,,594250.0,471.5,1883.7,1887.42,9.16,10.549545454545454,10.55,9.789545454545454,10.38,14.3,1372.0,48.265,0.2,5124.7,39.38,10.8
1982-12-31,0.8808695652173913,7.93608695652174,,8.15,,88771.0,111.69,1.238491304347826,97.2,97.7,8.95,,523750.0,474.8,1905.9,1909.9250000000002,8.91,10.53695652173913,10.54,9.656086956521738,10.22,14.14,1303.0,48.338,0.2,5153.9,15.68,10.8
1983-01-31,1.1295238095238094,7.856190476190475,,7.930952380952381,,88990.0,114.42,1.228657142857143,97.6,97.9,8.68,,501000.0,477.2,1959.4,1960.7599999999998,8.62,10.457142857142857,10.46,9.327619047619047,10.03,13.94,1586.0,48.564,5.4,5158.8,0.6,10.4
1983-02-28,1.0859999999999999,8.1075,,8.221,,88917.0,114.42,1.22755,98.0,98.0,8.51,,488750.0,484.3,1996.8,1985.75,8.92,10.7185,10.72,9.6325,10.26,13.95,1699.0,48.646,5.4,5158.2,1.48,10.4
1983-03-31,0.8504347826086956,8.348695652173914,,8.366521739130436,,89090.0,114.42,1.2263391304347826,98.2,98.1,8.77,,480250.0,490.6,2015.2,2008.65,9.04,10.506521739130434,10.51,9.656086956521738,10.08,13.61,1606.0,48.709,5.4,5178.1,0.06,10.3
1983-04-30,0.8280952380952381,8.232380952380952,,8.314285714285713,,89364.0,115.94,1.2324666666666666,98.6,98.8,8.8,,496000.0,493.2,2028.6,2033.725,8.98,10.41047619047619,10.4,9.582380952380952,10.02,13.29,1472.0,48.931,9.4,5186.2,0.0,10.2
1983-05-31,0.8831818181818182,8.205,,8.233181818181817,,89644.0,115.94,1.2292272727272726,98.9,99.2,8.63,,468000.0,500.0,2043.1,2030.14,8.9,10.39090909090909,10.38,9.507727272727273,10.03,13.09,1776.0,49.07,9.4,5210.0,0.0,10.1
1983-06-30,0.6668181818181819,8.792272727272728,,8.887272727272729,,90021.0,115.94,1.2323318181818181,99.2,99.4,8.98,,444250.0,504.0,2053.5,2051.875,9.66,10.848636363636363,10.85,10.181818181818182,10.63,13.37,1733.0,49.253,9.4,5224.5,0.0,10.1
1983-07-31,0.6952380952380952,9.063809523809525,,9.23952380952381,,90437.0,116.95,1.2320857142857142,99.8,99.8,9.37,,408000.0,507.8,2064.8,2068.875,10.2,11.355714285714285,11.38,10.66047619047619,11.21,13.39,1785.0,49.53,8.2,5255.4,0.0,9.4
1983-08-31,0.7756521739130434,9.343478260869565,,9.506521739130434,,90129.0,116.95,1.2337608695652174,100.1,100.1,9.56,,435750.0,510.5,2074.0,2071.12,10.53,11.846086956521738,11.85,11.070434782608697,11.63,13.64,1910.0,49.743,8.2,5249.8,0.2,9.5
1983-09-30,0.8622727272727272,9.007727272727273,,9.163181818181819,,91247.0,116.95,1.2325772727272728,100.5,100.4,9.45,,408750.0,512.8,2083.2,2080.55,10.16,11.67,11.65,10.807727272727274,11.43,13.55,1710.0,49.916,8.2,5296.0,0.0,9.2
1983-10-31,0.9657142857142857,8.633333333333335,,8.831428571428571,,91520.0,117.65,1.231895238095238,101.0,100.8,9.48,,402200.0,517.2,2099.2,2099.3,9.81,11.530952380952382,11.54,10.565238095238096,11.28,13.46,1715.0,50.002,8.6,5357.9,0.02,8.8
1983-11-30,1.0263636363636364,8.766363636363636,,8.93090909090909,,91875.0,117.65,1.2365772727272726,101.5,101.1,9.34,,392500.0,519.0,2112.3,2117.8,9.94,11.693636363636363,11.69,10.667272727272728,11.41,13.61,1785.0,50.072,8.6,5392.6,0.06,8.5
1983-12-31,0.9900000000000001,8.994545454545454,,9.173181818181819,,92230.0,117.65,1.2468590909090909,101.8,101.4,9.47,,368800.0,521.4,2123.5,2130.9750000000004,10.11,11.827727272727271,11.83,10.837727272727273,11.54,13.75,1688.0,50.1,8.6,5443.1,0.0,8.3
1984-01-31,1.029090909090909,8.906363636363636,,9.020454545454546,,92673.0,119.43,1.2482545454545455,102.5,102.1,9.56,,351000.0,525.1,2138.2,2144.94,9.9,11.680909090909092,11.67,10.651818181818182,11.37,13.65,1897.0,50.318,8.1,5465.7,0.0,8.0
1984-02-29,1.0585714285714285,9.09047619047619,,9.187619047619048,,93157.0,119.43,1.2479428571428572,102.8,102.6,9.59,,339250.0,527.5,2158.2,2147.1499999999996,10.04,11.845238095238095,11.84,10.786666666666665,11.54,13.59,2260.0,50.656,8.1,5506.3,0.0,7.8
1984-03-31,1.0045454545454546,9.516818181818183,,9.655454545454544,,93429.0,119.43,1.269718181818182,103.2,102.9,9.91,,345800.0,531.4,2175.2,2166.25,10.59,12.319090909090908,12.32,11.314545454545454,12.02,13.99,1663.0,50.823,8.1,5542.4,0.04,7.8
1984-04-30,0.95,9.695714285714287,,9.84047619047619,,93792.0,121.04,1.2796285714285713,103.7,103.3,10.29,,369250.0,535.0,2191.7,2192.6,10.9,12.64,12.63,11.690000000000001,12.37,14.31,1851.0,51.016,7.1,5581.4,0.02,7.7
1984-05-31,0.9404347826086956,9.82304347826087,,10.310434782608697,,94098.0,121.04,1.2943826086956522,104.1,103.5,10.32,,360250.0,536.7,2204.1,2190.575,11.66,13.423478260869565,13.41,12.48304347826087,13.17,14.74,1774.0,51.08,7.1,5597.4,0.02,7.4
1984-06-30,0.6561904761904762,9.868095238095238,,10.505238095238095,,94479.0,121.04,1.3039619047619047,104.5,103.7,11.06,,361400.0,540.2,2215.1,2212.9249999999997,12.08,13.562857142857142,13.56,12.906666666666668,13.48,15.05,1843.0,51.171,7.1,5644.3,0.02,7.2
1984-07-31,0.4936363636363636,10.10909090909091,,10.521818181818182,,94789.0,122.17,1.323568181818182,105.0,104.1,11.23,,360500.0,540.9,2223.5,2225.92,12.03,13.382272727272728,13.36,12.888636363636364,13.27,15.15,1732.0,51.354,3.9,5660.9,0.0,7.5
1984-08-31,0.2817391304347826,10.466521739130433,,10.610869565217392,,95032.0,122.17,1.3035086956521738,105.4,104.4,11.64,,389500.0,541.0,2230.4,2229.1,11.82,12.716086956521737,12.72,12.434347826086958,12.68,14.63,1586.0,51.512,3.9,5699.4,0.0,7.5
1984-09-30,0.3145,10.382000000000001,,10.48,,95344.0,122.17,1.3136800000000002,105.8,104.7,11.3,,395400.0,543.1,2244.4,2241.1,11.58,12.536,12.52,12.2215,12.53,14.35,1698.0,51.582,3.9,5751.9,0.06,7.3
1984-10-31,0.5560869565217391,9.753913043478262,,9.882173913043477,,95629.0,123.16,1.3189434782608696,106.2,105.1,9.99,,419250.0,543.7,2258.9,2256.18,10.9,12.170434782608696,12.16,11.614347826086956,12.06,13.94,1590.0,51.704,3.3,5727.6,0.12,7.4
1984-11-30,0.920909090909091,8.609545454545454,,8.813181818181818,,95982.0,123.16,1.3165,106.4,105.3,9.43,,407000.0,547.5,2281.4,2284.375,9.82,11.571818181818182,11.57,10.65090909090909,11.33,13.48,1689.0,51.776,3.3,5759.2,0.02,7.2
1984-12-31,1.3257142857142856,8.037142857142857,,8.268571428571429,,96107.0,123.16,1.3199190476190477,106.8,105.5,8.38,,385600.0,551.6,2306.4,2314.88,9.33,11.49047619047619,11.5,10.164761904761905,11.07,13.4,1612.0,51.922,3.3,5786.6,0.08,7.3
1985-01-31,1.4578260869565218,7.759565217391304,,8.008260869565218,,96372.0,124.89,1.3240739130434782,107.1,105.7,8.35,,370750.0,557.0,2332.4,2341.125,9.02,11.391739130434782,11.38,9.93391304347826,10.93,13.26,1711.0,52.182,3.9,5780.5,0.1,7.3
1985-02-28,1.3450000000000002,8.2585,,8.3835,,96503.0,124.89,1.353185,107.7,106.3,8.5,,391750.0,563.6,2354.1,2341.65,9.29,11.498000000000001,11.51,10.153,11.13,13.23,1632.0,52.424,3.9,5784.5,0.06,7.2
1985-03-31,1.1423809523809523,8.516666666666666,,8.899047619047618,,96842.0,124.89,1.3839904761904762,108.1,106.8,8.58,,380800.0,566.6,2366.2,2357.575,9.86,11.855238095238096,11.86,10.712857142857143,11.52,13.69,1800.0,52.629,3.9,5810.9,0.04,7.2
1985-04-30,1.34,7.954999999999999,,8.250454545454545,,97038.0,126.78,1.3657727272727274,108.4,107.0,8.27,,398250.0,570.4,2375.4,2377.56,9.14,11.44909090909091,11.43,10.10909090909091,11.01,13.51,1821.0,52.706,3.6,5798.6,0.2,7.3
1985-05-31,1.452173913043478,7.466521739130434,,7.636956521739131,,97312.0,126.78,1.3756086956521738,108.8,107.2,7.97,,392750.0,575.1,2389.5,2374.65,8.46,10.834782608695651,10.85,9.382608695652175,10.34,13.15,1680.0,52.831,3.6,5813.4,0.04,7.2
1985-06-30,1.468,6.954000000000001,,7.093500000000001,,97459.0,126.78,1.3675950000000001,109.1,107.5,7.53,,392400.0,582.3,2412.6,2408.675,7.8,10.156,10.16,8.687999999999999,9.6,12.4,1676.0,52.974,3.6,5837.3,0.3,7.4
1985-07-31,1.5352173913043479,7.08,,7.189565217391305,,97648.0,128.75,1.3527608695652173,109.4,107.7,7.88,,378250.0,589.1,2429.5,2431.96,7.86,10.303478260869566,10.31,8.768260869565216,9.7,12.43,1684.0,53.104,6.2,5835.2,0.34,7.4
1985-08-31,1.3881818181818182,7.135,,7.318181818181818,,97840.0,128.75,1.3575272727272727,109.8,107.9,7.9,,404400.0,596.2,2444.0,2442.2,8.05,10.331818181818182,10.33,8.943636363636363,9.81,12.5,1743.0,53.28,6.2,5845.1,0.06,7.1
1985-09-30,1.391904761904762,7.093809523809524,,7.251428571428572,,98045.0,128.75,1.3701238095238095,110.0,108.1,7.92,,408500.0,603.3,2456.4,2450.68,8.07,10.361428571428572,10.37,8.96952380952381,9.81,12.48,1676.0,53.37,6.2,5871.6,0.06,7.1
1985-10-31,1.372608695652174,7.162608695652175,,7.331739130434783,,98233.0,130.18,1.3667521739130435,110.5,108.5,7.99,,405750.0,607.8,2468.0,2466.9,8.01,10.241304347826087,10.24,8.868695652173914,9.69,12.36,1834.0,53.459,3.0,5901.8,0.18,7.1
1985-11-30,1.2,7.234285714285715,,7.298095238095238,,98443.0,130.18,1.3765619047619049,111.1,109.0,8.05,,393400.0,612.2,2477.8,2479.0,7.88,9.777619047619048,9.78,8.577619047619047,9.28,11.99,1698.0,53.614,3.0,5910.7,0.04,7.0
1985-12-31,1.1095454545454546,7.097272727272727,,7.133181818181819,,98609.0,130.18,1.395659090909091,111.4,109.5,8.27,,385250.0,619.8,2492.1,2500.7799999999997,7.67,9.250454545454545,9.26,8.14090909090909,8.73,11.58,1942.0,53.795,3.0,5950.4,0.04,7.0
1986-01-31,1.05,7.074347826086957,,7.163043478260869,,98732.0,132.71,1.4063391304347825,111.9,109.9,8.14,,366750.0,621.4,2502.1,2514.975,7.73,9.187391304347827,9.19,8.137391304347826,8.68,11.44,1972.0,54.042,3.8,5932.0,0.08,6.7
1986-02-28,0.7344999999999999,7.062,,7.1095,,98847.0,132.71,1.40392,112.2,109.7,7.86,,369500.0,625.2,2512.9,2500.425,7.61,8.703,8.7,7.968500000000001,8.34,11.11,1848.0,54.042,3.8,5962.7,0.52,7.2
1986-03-31,0.5585714285714286,6.550000000000001,,6.55904761904762,,98934.0,132.71,1.4009095238095237,112.5,109.1,7.48,,381200.0,633.5,2533.1,2524.2599999999998,7.03,7.7647619047619045,7.78,7.206190476190477,7.46,10.5,1876.0,53.924,3.8,6018.8,0.36,7.2
1986-04-30,0.604090909090909,6.056363636363637,,6.078636363636363,,99121.0,135.5,1.387868181818182,112.9,108.7,6.99,,385750.0,641.0,2557.8,2565.775,6.44,7.29909090909091,7.3,6.694999999999999,7.05,10.19,1933.0,53.813,1.8,6038.8,0.12,7.1
1986-05-31,0.6427272727272727,6.151363636363637,,6.188181818181818,,99248.0,135.5,1.3753681818181818,113.1,109.0,6.85,,386000.0,652.0,2584.8,2568.25,6.65,7.715454545454546,7.71,7.072727272727272,7.52,10.29,1854.0,53.912,1.8,6043.6,0.2,7.2
1986-06-30,0.6147619047619047,6.2090476190476185,,6.267142857142856,,99155.0,135.5,1.3899142857142857,113.4,109.4,6.92,,370500.0,660.6,2605.0,2601.54,6.73,7.7995238095238095,7.8,7.1847619047619045,7.64,10.34,1847.0,54.112,1.8,6046.1,0.28,7.2
1986-07-31,0.6352173913043478,5.832173913043477,,5.860434782608695,,99473.0,137.56,1.3807130434782608,113.8,109.5,6.56,,362000.0,670.3,2626.6,2633.0,6.27,7.303478260869565,7.3,6.668260869565217,7.06,10.16,1782.0,54.126,3.9,6067.7,0.04,7.0
1986-08-31,0.8395238095238095,5.527142857142857,,5.552380952380952,,99588.0,137.56,1.3885190476190477,114.2,109.6,6.17,,407400.0,678.7,2646.5,2644.425,5.93,7.1657142857142855,7.17,6.326190476190476,6.8,10.18,1807.0,54.194,3.9,6093.3,0.06,6.9
1986-09-30,1.0972727272727274,5.207727272727273,,5.343181818181818,,99934.0,137.56,1.3872909090909091,114.6,110.0,5.89,,395500.0,687.4,2667.8,2658.02,5.77,7.425,7.45,6.327727272727273,6.92,10.2,1687.0,54.371,3.9,6101.5,0.0,7.0
1986-10-31,1.1495652173913045,5.174347826086956,,5.2556521739130435,,100121.0,139.68,1.3884130434782609,115.0,110.2,5.85,,383250.0,694.9,2687.4,2684.65,5.72,7.423478260869565,7.43,6.273913043478261,6.83,10.24,1681.0,54.469,2.2,6105.0,0.06,7.0
1986-11-30,0.9715,5.3549999999999995,,5.4195,,100308.0,139.68,1.38636,115.3,110.4,6.04,,363200.0,705.4,2701.3,2700.225,5.8,7.252,7.25,6.2805,6.76,10.07,1623.0,54.566,2.2,6120.6,0.02,6.9
1986-12-31,0.8378260869565217,5.53,,5.547391304347826,,100509.0,139.68,1.3800043478260868,115.6,110.8,6.91,,358250.0,724.7,2728.0,2733.52,5.87,7.110869565217392,7.11,6.2730434782608695,6.67,9.97,1833.0,54.64,2.2,6146.6,0.02,6.6
1987-01-31,0.8572727272727273,5.433636363636364,,5.444090909090909,,100678.0,142.46,1.3616045454545456,115.9,111.4,6.43,,345600.0,730.2,2743.9,2760.925,5.78,7.088636363636363,7.08,6.231363636363636,6.64,9.72,1774.0,54.895,3.0,6139.8,0.8,6.6
1987-02-28,0.8525,5.596500000000001,,5.592499999999999,,100919.0,142.46,1.3344,116.2,111.8,6.1,,348750.0,730.7,2747.5,2734.375,5.96,7.252,7.25,6.3995,6.79,9.65,1784.0,55.088,3.0,6162.3,0.04,6.6
1987-03-31,0.8240909090909091,5.591818181818182,,5.604090909090909,,101164.0,142.46,1.3194272727272727,116.6,112.2,6.13,,333250.0,733.8,2753.7,2744.68,6.03,7.248636363636364,7.25,6.424545454545455,6.79,9.61,1726.0,55.233,3.0,6182.0,0.06,6.6
1987-04-30,1.0045454545454546,5.632727272727273,,5.901363636363637,,101499.0,144.67,1.3191954545454545,117.3,112.7,6.37,,336250.0,743.9,2767.7,2781.625,6.5,8.023181818181818,8.02,7.018636363636364,7.57,10.04,1614.0,55.439,4.4,6180.2,0.02,6.3
1987-05-31,0.8495238095238096,5.654761904761905,,6.055238095238095,,101728.0,144.67,1.3414095238095238,117.7,113.0,6.85,,331000.0,745.8,2772.9,2758.275,7.0,8.62095238095238,8.61,7.7714285714285705,8.26,10.51,1628.0,55.58,4.4,6214.0,0.04,6.3
1987-06-30,0.8290909090909092,5.668181818181818,,5.990454545454545,,101900.0,144.67,1.3386909090909092,117.9,113.5,6.73,,322250.0,743.2,2774.6,2771.02,6.8,8.402272727272727,8.4,7.573181818181819,8.02,10.52,1594.0,55.791,4.4,6218.6,0.02,6.2
1987-07-31,1.0008695652173913,5.69086956521739,,5.761304347826086,,102247.0,146.35,1.3261652173913043,118.3,113.8,6.58,,319250.0,743.0,2779.0,2787.15,6.68,8.440434782608696,8.45,7.439565217391305,8.01,10.61,1575.0,55.919,3.5,6241.7,0.0,6.1
1987-08-31,1.0076190476190476,6.036190476190477,,6.1519047619047615,,102420.0,146.35,1.325647619047619,118.7,114.3,6.73,,325600.0,744.9,2788.2,2785.82,7.03,8.76047619047619,8.76,7.752857142857143,8.32,10.8,1605.0,56.14,3.5,6281.8,0.0,6.0
1987-09-30,1.0763636363636364,6.397272727272727,,6.634090909090909,,102647.0,146.35,1.315390909090909,119.2,114.7,7.22,,309750.0,747.6,2799.5,2793.55,7.67,9.416363636363636,9.42,8.34,8.94,11.31,1695.0,56.329,3.5,6288.9,0.02,5.9
1987-10-31,1.1136363636363635,6.161363636363637,,6.717272727272728,,103138.0,147.29,1.3096136363636364,119.8,115.0,7.29,,300000.0,756.2,2814.8,2810.675,7.59,9.539090909090909,9.52,8.425454545454546,9.08,11.62,1515.0,56.508,7.0,6332.7,0.0,6.0
1987-11-30,1.17,5.693809523809524,,6.189047619047619,,103372.0,147.29,1.3165238095238094,120.1,115.4,6.69,,306750.0,753.2,2818.9,2819.2799999999997,6.96,8.862857142857143,8.86,7.692857142857143,8.35,11.23,1656.0,56.616,7.0,6367.3,0.04,5.8
1987-12-31,1.123913043478261,5.766521739130434,,6.358260869565218,,103661.0,147.29,1.3074739130434783,120.4,115.6,6.77,,318750.0,750.2,2826.4,2837.1000000000004,7.17,8.980434782608697,8.99,7.856521739130434,8.45,11.29,1400.0,56.72,7.0,6443.2,0.02,5.7
1988-01-31,1.0347619047619048,5.81047619047619,,6.248571428571428,,103753.0,149.59,1.2862238095238094,120.9,116.0,6.83,,335600.0,756.2,2847.4,2859.95,6.99,8.67047619047619,8.67,7.635714285714285,8.18,11.07,1271.0,56.941,2.1,6412.5,0.24,5.7
